Time,timeDelta,FOV3 8 cells 50mW_cell_1,FOV3 8 cells 50mW_cell_2,FOV3 8 cells 50mW_cell_3,FOV3 8 cells 50mW_cell_4,FOV3 8 cells 50mW_cell_5
2023-04-11 19:14:42,0,2228.56,2641.054054054054,2404.7019543973943,2337.5241379310346,3094.5403726708078
2023-04-11 19:17:08,2,2212.2,2657.2927927927926,2361.271986970684,2325.865517241379,3055.493788819876
2023-04-11 19:17:17,2,2088.74,2553.612612612613,2244.327361563518,2202.2,2910.158385093168
2023-04-11 19:21:22,6,2194.78,2609.774774774775,2408.28013029316,2364.5689655172414,3238.978260869565
2023-04-11 19:25:04,10,2159.52,2599.297297297297,2501.478827361564,2431.1862068965515,3592.307453416149
2023-04-11 19:30:05,15,2146.96,2621.747747747748,2622.1270358306188,2545.896551724138,4061.795031055901
2023-04-11 19:35:07,20,2113.24,2586.995495495496,2712.214983713355,2671.38275862069,4389.304347826087
