# x,y,w,h
2.280000000000000000e+02,4.770000000000000000e+02,4.900000000000000000e+01,3.300000000000000000e+01
4.070000000000000000e+02,4.160000000000000000e+02,1.050000000000000000e+02,9.600000000000000000e+01
2.560000000000000000e+02,3.390000000000000000e+02,1.130000000000000000e+02,1.000000000000000000e+02
2.900000000000000000e+01,9.900000000000000000e+01,9.600000000000000000e+01,9.100000000000000000e+01
4.080000000000000000e+02,5.600000000000000000e+01,1.040000000000000000e+02,1.310000000000000000e+02
