# x,y,w,h
0.000000000000000000e+00,4.560000000000000000e+02,4.400000000000000000e+01,5.600000000000000000e+01
3.300000000000000000e+02,4.520000000000000000e+02,9.600000000000000000e+01,6.000000000000000000e+01
1.030000000000000000e+02,3.870000000000000000e+02,1.090000000000000000e+02,1.030000000000000000e+02
8.700000000000000000e+01,2.860000000000000000e+02,1.340000000000000000e+02,9.800000000000000000e+01
1.490000000000000000e+02,7.200000000000000000e+01,1.000000000000000000e+02,1.400000000000000000e+02
