Time,timeDelta,FOV2 4 cells 50mW_cell_3,FOV2 4 cells 50mW_cell_4,FOV2 4 cells 50mW_cell_5
2023-04-11 16:36:28,0,1695.4261083743845,1708.6742081447965,1937.004975124378
2023-04-11 16:37:28,1,2061.637931034483,2076.552036199095,2299.9825870646764
2023-04-11 16:40:15,3,2161.554187192118,2158.547511312217,2402.358208955224
2023-04-11 16:42:19,5,2164.14039408867,2150.2737556561087,2397.997512437811
2023-04-11 16:46:44,10,2240.495073891625,2194.923076923077,2509.2611940298507
2023-04-11 16:51:13,14,2323.9556650246304,2287.524886877828,2618.4402985074626
2023-04-11 16:57:20,20,2456.2118226600987,2369.542986425339,2856.885572139304
