Time,timeDelta,FOV1 5 cells 50mW_cell_1,FOV1 5 cells 50mW_cell_2,FOV1 5 cells 50mW_cell_3,FOV2 4 cells 50mW_cell_3,FOV2 4 cells 50mW_cell_4,FOV2 4 cells 50mW_cell_5,FOV3 8 cells 50mW_cell_1,FOV3 8 cells 50mW_cell_2,FOV3 8 cells 50mW_cell_3,FOV3 8 cells 50mW_cell_4,FOV3 8 cells 50mW_cell_5,FOV4 6 cells 50mW_cell_2,FOV4 6 cells 50mW_cell_3,FOV4 6 cells 50mW_cell_4,FOV4 6 cells 50mW_cell_5,FOV4 6 cells 50mW_cell_6,FOV4 6 cells 50mW_cell_7,FOV4 6 cells 50mW_cell_8,FOV4 6 cells 50mW_cell_9
2023-04-11 19:46:00,0,2087.0695652173918,2686.9539473684213,2080.639751552795,1695.4261083743845,1708.6742081447965,1937.004975124378,2228.56,2641.054054054054,2404.7019543973943,2337.5241379310346,3094.5403726708078,1966.546052631579,1995.8581952117863,2031.3306451612905,1926.1882352941177,1973.0678336980309,1902.511574074074,2064.997448979592,2101.264631043257
2023-04-11 19:46:50,0,2141.621739130435,2757.6688596491226,2163.0698757763976,2061.637931034483,2076.552036199095,2299.9825870646764,2212.2,2657.2927927927926,2361.271986970684,2325.865517241379,3055.493788819876,1992.621710526316,2035.5506445672197,2066.8306451612902,1960.902941176471,1998.6936542669584,1941.412037037037,2093.494897959184,2144.8244274809163
2023-04-11 19:49:08,3,2147.4434782608696,2747.5241228070176,2171.826086956521,2161.554187192118,2158.547511312217,2402.358208955224,2088.74,2553.612612612613,2244.327361563518,2202.2,2910.158385093168,1983.578947368421,2026.6519337016573,2061.5362903225805,1965.058823529412,2000.5733041575493,1929.4583333333333,2111.076530612245,2144.8117048346057
2023-04-11 19:50:13,4,2161.121739130435,2744.1929824561403,2173.082298136646,2164.14039408867,2150.2737556561087,2397.997512437811,2194.78,2609.774774774775,2408.28013029316,2364.5689655172414,3238.978260869565,1983.391447368421,2012.7716390423573,2055.6653225806454,1990.152941176471,1999.984682713348,1920.611111111111,2097.469387755102,2135.6513994910943
2023-04-11 19:55:45,9,2332.8,2809.155701754386,2233.296583850932,2240.495073891625,2194.923076923077,2509.2611940298507,2159.52,2599.297297297297,2501.478827361564,2431.1862068965515,3592.307453416149,1999.671052631579,2081.609576427256,2067.995967741936,2245.247058823529,2182.275711159737,1927.2592592592596,2159.8469387755104,2201.979643765904
2023-04-11 20:00:38,14,2290.534782608696,2925.6359649122805,2343.793478260869,2323.9556650246304,2287.524886877828,2618.4402985074626,2146.96,2621.747747747748,2622.1270358306188,2545.896551724138,4061.795031055901,2005.592105263158,2161.5046040515654,2093.814516129032,2510.252941176471,2513.378555798687,1989.164351851852,2366.7321428571427,2348.1221374045804
2023-04-11 20:06:18,20,2338.113043478261,3171.241228070176,2456.743788819876,2456.2118226600987,2369.542986425339,2856.885572139304,2113.24,2586.995495495496,2712.214983713355,2671.38275862069,4389.304347826087,2046.0888157894735,2236.38305709024,2172.0685483870966,2766.685294117647,2734.431072210066,2274.9560185185187,2616.928571428572,3157.3307888040717
