# x,y,w,h
0.000000000000000000e+00,3.310000000000000000e+02,7.400000000000000000e+01,1.070000000000000000e+02
3.720000000000000000e+02,2.420000000000000000e+02,1.300000000000000000e+02,1.070000000000000000e+02
2.570000000000000000e+02,2.140000000000000000e+02,1.010000000000000000e+02,8.000000000000000000e+01
