Time,signal
2021-09-18 12:37:28,1276.1176470588234
2021-09-18 12:38:31,1446.450980392157
2021-09-18 12:39:32,1521.549019607843
2021-09-18 12:40:33,1533.3333333333333
2021-09-18 12:41:34,1525.8235294117646
2021-09-18 12:42:35,1524.3333333333333
2021-09-18 12:43:36,1524.4117647058824
2021-09-18 12:44:37,1516.0196078431372
2021-09-18 12:45:38,1516.4318181818182
2021-09-18 12:46:39,1518.0392156862745
2021-09-18 12:47:40,1511.5294117647059
2021-09-18 12:48:41,1513.8823529411766
2021-09-18 12:49:42,1511.9019607843138
2021-09-18 12:50:43,1512.0588235294117
2021-09-18 12:51:44,1509.862745098039
2021-09-18 12:52:45,1508.0392156862745
2021-09-18 12:53:46,1504.313725490196
2021-09-18 12:54:47,1502.764705882353
2021-09-18 12:55:48,1502.9803921568628
2021-09-18 12:56:49,1502.862745098039
2021-09-18 12:57:50,1499.686274509804
2021-09-18 12:58:51,1498.9607843137255
2021-09-18 12:59:52,1500.2745098039215
