# x,y,w,h
4.670000000000000000e+02,4.560000000000000000e+02,4.500000000000000000e+01,5.400000000000000000e+01
0.000000000000000000e+00,3.580000000000000000e+02,9.300000000000000000e+01,1.020000000000000000e+02
1.480000000000000000e+02,2.070000000000000000e+02,1.040000000000000000e+02,1.000000000000000000e+02
0.000000000000000000e+00,2.040000000000000000e+02,1.140000000000000000e+02,1.530000000000000000e+02
4.470000000000000000e+02,1.970000000000000000e+02,6.500000000000000000e+01,5.700000000000000000e+01
3.090000000000000000e+02,1.600000000000000000e+02,9.600000000000000000e+01,1.230000000000000000e+02
2.030000000000000000e+02,9.400000000000000000e+01,8.300000000000000000e+01,1.070000000000000000e+02
6.800000000000000000e+01,2.800000000000000000e+01,1.010000000000000000e+02,1.020000000000000000e+02
2.850000000000000000e+02,1.400000000000000000e+01,1.070000000000000000e+02,1.030000000000000000e+02
