Time,signal
2023-06-13 16:40:54,2147.276923076923
2023-06-13 16:40:56,2067.5346153846153
2023-06-13 16:40:59,2032.9115384615384
2023-06-13 16:41:07,2223.7
2023-06-13 16:41:09,2191.4192307692306
2023-06-13 16:41:11,2171.9346153846154
2023-06-13 16:41:14,2156.403846153846
2023-06-13 16:41:16,2146.5384615384614
2023-06-13 16:41:18,2140.9884615384617
2023-06-13 16:41:20,2134.8192307692307
2023-06-13 16:41:22,2129.4692307692308
2023-06-13 16:41:24,2126.0346153846153
2023-06-13 16:41:26,2120.892307692308
2023-06-13 16:41:29,2115.596153846154
2023-06-13 16:41:31,2110.2884615384614
2023-06-13 16:41:33,2104.1153846153848
2023-06-13 16:41:35,2095.723076923077
2023-06-13 16:41:37,2078.626923076923
2023-06-13 16:41:39,2070.5653846153846
2023-06-13 16:41:41,2065.8653846153848
2023-06-13 16:41:44,2064.096153846154
2023-06-13 16:41:46,2061.0653846153846
2023-06-13 16:41:48,2057.5346153846153
2023-06-13 16:41:50,2052.5115384615383
2023-06-13 16:41:52,2048.1807692307693
2023-06-13 16:41:54,2044.7653846153846
2023-06-13 16:41:56,2041.8346153846153
2023-06-13 16:41:59,2037.7423076923078
2023-06-13 16:42:01,2034.7384615384615
2023-06-13 16:42:03,2029.4384615384615
2023-06-13 16:42:05,2026.9692307692308
2023-06-13 16:42:07,2024.1192307692309
2023-06-13 16:42:09,2018.9730769230769
2023-06-13 16:42:11,2012.8923076923077
2023-06-13 16:42:14,2010.5884615384616
2023-06-13 16:42:16,2007.9615384615386
2023-06-13 16:42:18,2003.3115384615385
2023-06-13 16:42:20,1999.6
2023-06-13 16:42:22,1995.6884615384615
2023-06-13 16:42:24,1991.996153846154
2023-06-13 16:42:26,1988.5423076923078
2023-06-13 16:42:29,1986.7615384615385
2023-06-13 16:42:31,1981.9576923076922
2023-06-13 16:42:33,1979.0846153846153
2023-06-13 16:42:35,1976.0192307692307
2023-06-13 16:42:37,1973.0269230769231
2023-06-13 16:42:39,1968.1538461538462
2023-06-13 16:42:41,1966.8461538461538
2023-06-13 16:42:43,1962.8153846153846
2023-06-13 16:42:46,1960.0076923076922
2023-06-13 16:42:48,1955.6153846153845
2023-06-13 16:42:50,1952.4
2023-06-13 16:42:52,1950.7923076923078
2023-06-13 16:42:54,1946.5192307692307
2023-06-13 16:42:56,1944.196153846154
2023-06-13 16:42:58,1939.8461538461538
2023-06-13 16:43:01,1937.6384615384616
2023-06-13 16:43:03,1934.6307692307691
2023-06-13 16:43:05,1930.6115384615384
2023-06-13 16:43:07,1927.746153846154
2023-06-13 16:43:09,1925.4192307692308
2023-06-13 16:43:11,1922.7038461538461
2023-06-13 16:43:13,1919.95
2023-06-13 16:43:16,1918.2653846153846
2023-06-13 16:43:18,1915.9615384615386
2023-06-13 16:43:20,1911.0653846153846
2023-06-13 16:43:22,1909.4423076923076
2023-06-13 16:43:24,1903.7384615384615
2023-06-13 16:43:26,1902.2192307692308
2023-06-13 16:43:28,1898.1538461538462
2023-06-13 16:43:31,1895.5
2023-06-13 16:43:33,1890.496153846154
2023-06-13 16:43:35,1888.95
2023-06-13 16:43:37,1885.0692307692307
2023-06-13 16:43:39,1881.6038461538462
2023-06-13 16:43:41,1877.6576923076923
2023-06-13 16:43:43,1873.5615384615385
2023-06-13 16:43:46,1871.9076923076923
2023-06-13 16:43:48,1866.426923076923
2023-06-13 16:43:50,1863.5615384615385
2023-06-13 16:43:52,1861.6076923076923
2023-06-13 16:43:54,1856.4769230769232
2023-06-13 16:43:56,1853.926923076923
2023-06-13 16:43:58,1850.2692307692307
2023-06-13 16:44:01,1845.3692307692309
2023-06-13 16:44:03,1843.3384615384616
2023-06-13 16:44:05,1840.5230769230768
2023-06-13 16:44:07,1835.55
2023-06-13 16:44:09,1831.7730769230768
2023-06-13 16:44:11,1829.196153846154
2023-06-13 16:44:13,1826.1192307692309
2023-06-13 16:44:16,1821.9653846153847
2023-06-13 16:44:18,1820.1807692307693
2023-06-13 16:44:20,1814.8923076923077
2023-06-13 16:44:22,1812.6576923076923
