Time,signal
2023-06-13 16:40:54,2123.5476190476193
2023-06-13 16:40:56,2044.7857142857142
2023-06-13 16:40:59,2008.357142857143
2023-06-13 16:41:07,2333.9761904761904
2023-06-13 16:41:09,2264.8174603174602
2023-06-13 16:41:11,2229.8968253968255
2023-06-13 16:41:14,2210.6746031746034
2023-06-13 16:41:16,2198.1507936507937
2023-06-13 16:41:18,2185.190476190476
2023-06-13 16:41:20,2174.0079365079364
2023-06-13 16:41:22,2165.9603174603176
2023-06-13 16:41:24,2154.626984126984
2023-06-13 16:41:26,2140.8253968253966
2023-06-13 16:41:29,2132.3968253968255
2023-06-13 16:41:31,2127.3650793650795
2023-06-13 16:41:33,2120.9761904761904
2023-06-13 16:41:35,2112.626984126984
2023-06-13 16:41:37,2099.6746031746034
2023-06-13 16:41:39,2083.873015873016
2023-06-13 16:41:41,2076.0793650793653
2023-06-13 16:41:44,2074.5555555555557
2023-06-13 16:41:46,2073.0555555555557
2023-06-13 16:41:48,2066.1349206349205
2023-06-13 16:41:50,2063.9285714285716
2023-06-13 16:41:52,2057.095238095238
2023-06-13 16:41:54,2055.65873015873
2023-06-13 16:41:56,2049.4285714285716
2023-06-13 16:41:59,2045.0873015873017
2023-06-13 16:42:01,2039.6507936507937
2023-06-13 16:42:03,2036.142857142857
2023-06-13 16:42:05,2031.626984126984
2023-06-13 16:42:07,2028.6825396825398
2023-06-13 16:42:09,2024.436507936508
2023-06-13 16:42:11,2018.9126984126983
2023-06-13 16:42:14,2016.4285714285713
2023-06-13 16:42:16,2013.1904761904761
2023-06-13 16:42:18,2007.5238095238096
2023-06-13 16:42:20,2004.031746031746
2023-06-13 16:42:22,2001.015873015873
2023-06-13 16:42:24,1994.0238095238096
2023-06-13 16:42:26,1992.1349206349207
2023-06-13 16:42:29,1989.563492063492
2023-06-13 16:42:31,1987.0714285714287
2023-06-13 16:42:33,1980.373015873016
2023-06-13 16:42:35,1977.5238095238096
2023-06-13 16:42:37,1973.8253968253969
2023-06-13 16:42:39,1967.7539682539682
2023-06-13 16:42:41,1966.968253968254
2023-06-13 16:42:43,1963.611111111111
2023-06-13 16:42:46,1959.7222222222222
2023-06-13 16:42:48,1955.2301587301588
2023-06-13 16:42:50,1952.1587301587301
2023-06-13 16:42:52,1950.357142857143
2023-06-13 16:42:54,1947.0714285714287
2023-06-13 16:42:56,1945.0
2023-06-13 16:42:58,1940.1587301587301
2023-06-13 16:43:01,1936.6190476190477
2023-06-13 16:43:03,1933.2777777777778
2023-06-13 16:43:05,1927.6031746031747
2023-06-13 16:43:07,1926.4761904761904
2023-06-13 16:43:09,1923.7619047619048
2023-06-13 16:43:11,1920.2460317460318
2023-06-13 16:43:13,1917.0555555555557
2023-06-13 16:43:16,1915.984126984127
2023-06-13 16:43:18,1912.3650793650793
2023-06-13 16:43:20,1908.8015873015872
2023-06-13 16:43:22,1906.8095238095239
2023-06-13 16:43:24,1899.142857142857
2023-06-13 16:43:26,1897.7142857142858
2023-06-13 16:43:28,1892.8809523809523
2023-06-13 16:43:31,1891.7063492063492
2023-06-13 16:43:33,1887.9444444444443
2023-06-13 16:43:35,1884.8412698412699
2023-06-13 16:43:37,1880.7539682539682
2023-06-13 16:43:39,1875.3095238095239
2023-06-13 16:43:41,1872.626984126984
2023-06-13 16:43:43,1866.8809523809523
2023-06-13 16:43:46,1866.7698412698412
2023-06-13 16:43:48,1861.031746031746
2023-06-13 16:43:50,1858.2619047619048
2023-06-13 16:43:52,1854.1507936507937
2023-06-13 16:43:54,1851.2539682539682
2023-06-13 16:43:56,1848.7460317460318
2023-06-13 16:43:58,1842.968253968254
2023-06-13 16:44:01,1839.2539682539682
2023-06-13 16:44:03,1836.1825396825398
2023-06-13 16:44:05,1831.2936507936508
2023-06-13 16:44:07,1828.7539682539682
2023-06-13 16:44:09,1824.6984126984128
2023-06-13 16:44:11,1825.484126984127
2023-06-13 16:44:13,1820.031746031746
2023-06-13 16:44:16,1817.1984126984128
2023-06-13 16:44:18,1813.611111111111
2023-06-13 16:44:20,1809.1746031746031
2023-06-13 16:44:22,1804.1666666666667
